text,clause_type,risk
"the foregoing restrictions shall not apply (i) in the event network affiliate or its affiliate acquires a competing business as an incidental part of an acquisition of any other business that is not prohibited by the foregoing, if network affiliate disposes of the portion of such business that is a competing business as soon as commercially reasonable, (ii) to any direct or indirect ownership or other equity investments by network affiliate or its affiliates in such other competing business that represents in the aggregate less than 10% of the voting power of all outstanding equity of such business, or (iii) in the event network affiliate enters into any agreement for the acquisition or installation of equipment or the provision of services on customary terms that does not violate the exclusivity of ncm hereunder with any entity that has other businesses and provides other services that may compete with ncm.",Competitive Restriction Exception,Low Risk
"nothing in this agreement shall limit or affect (i) ncm's ability to contract or enter into any relationship with any person or entity for any product, service, or otherwise, whether or not similar to any products or services provided by ncm under this agreement, or (ii) network affiliate's ability to contract or enter into any relationship with any person or entity for any product, service, or otherwise, other than the services that will be provided exclusively by ncm as set forth in this section 6.1 and meetings promoted and scheduled by network affiliate theatre personnel as previously referenced in this section 6.1.",Competitive Restriction Exception,Low Risk
"during the term and for a period of twelve (12) months thereafter network affiliate will not, without ncm's prior written consent, either alone or in concert with others directly or indirectly solicit, entice, induce, or encourage: (i) any employee, contractor or agent of ncm to terminate his or her employment, contractor or agency relationship with ncm,",No-Solicit Of Employees,Low Risk
"network affiliate shall not engage in any conduct which may place ncm or any ncm mark in a negative light or context,",Non-Disparagement,Low Risk
"ncm shall not engage in any conduct which may place network affiliate or any network affiliate mark in a negative light or context,",Non-Disparagement,Low Risk
"for the purposes of this agreement, any change of control, merger, consolidation, or acquisition of all or substantially all of the assets of network affiliate (collectively, a ""change of control"") shall be deemed an assignment.",Change Of Control,Medium Risk
"network affiliate may not assign or transfer, by operation of law or otherwise, any of its rights under this agreement or delegate any of its duties under this agreement to any third party without ncm's prior written consent, which consent shall not be unreasonably withheld, conditioned or delayed",Change Of Control,Medium Risk
any attempted assignment in violation of this section shall be void.,Anti-Assignment,High Risk
this agreement shall not be assignable by either party unless the assignee expressly assumes in writing the obligations of the assignor hereunder.,Anti-Assignment,High Risk
"network affiliate may not assign or transfer, by operation of law or otherwise, any of its rights under this agreement or delegate any of its duties under this agreement to any third party without ncm's prior written consent, which consent shall not be unreasonably withheld, conditioned or delayed.",Anti-Assignment,High Risk
"each party shall receive 50% of all net revenue derived from the sale of advertising inventory that is exhibited in the theatres (the ""advertising revenue share"").",Revenue/Profit Sharing,Low Risk
"the minimum fee shall be prorated to account for (i) any periods during which network affiliate's annual attendance base in the theatres is lower than the base amount, and (ii) reductions in revenue associated with network affiliate's rejection of content as permitted under section 3.4.",Minimum Commitment,High Risk
"any payments made in order to satisfy the ""minimum fee"" which can be characterized as an advance of amounts due from advertising clients which is ""earned but not yet paid"" shall be deducted from the following year's payments when such amounts have in fact been collected.",Minimum Commitment,High Risk
"for each twelve-month period following the effective date during the term, and as long as network affiliate's attendance base in the theatres for the twelve (12) month period is equal to or greater than 400,000 patrons (the ""base amount""), the amount paid by ncm pursuant to section 7.1(b) shall be not less than $ .17 per theatre patron during such period with such amount increasing by 5% on each anniversary of the effective date (the ""minimum fee"").",Minimum Commitment,High Risk
"such advertising for the strategic program may be placed in the branded slots, in network affiliate's slides exhibited in the digital carousel and in that portion of the video display program to which network affiliate has access for advertising (but for no more than one minute of time for every 30 minutes of video display program advertising).",Volume Restriction,Low Risk
"the policy trailer will be (i) up to 60 seconds, (ii) exhibited in the theatres after showtime, (iii) be customized to include the name of the network affiliates theatre business and (iii) used to feature content relating to theatre policy and operations, and may include (w) a policy service announcement that promotes appropriate theatre behavior, (x) promotions of network affiliate concessions, (y) upon prior written approval of network affiliate, other promotional materials of third-party products for which ncm sells advertising and is paid a fee (the ""policy trailer"").",Volume Restriction,Low Risk
"the digital content service will feature (i) up to two (2) minutes for theatre advertising (the ""branded slots"") in each play list. each branded slot may only exhibit theatre advertising. ncm is required to include no less than forty-five (45) seconds of branded slots within the final fifteen (15) minutes of the play list, fifteen (15) seconds of which shall be included within the final eleven (11) minutes of the play list; provided, that ncm may begin these branded slots up to one minute earlier when ncm expands the amount of advertising units that follow these branded slots through the sale of additional advertising to third parties.",Volume Restriction,Low Risk
strategic programs may not be made on an exclusive basis. no more than one strategic program may be run in any theatre at any time.,Volume Restriction,Low Risk
"notwithstanding anything herein to the contrary, network affiliate shall not be prohibited from: (i) promoting the grand opening of a theatre or an excluded theatre, provided such promotional activity (x) may occur only for the thirty (30) day period immediately preceding the opening of the theatre to the general public through the thirty (30) day period immediately following the opening of the theatre to the general public, and (y) includes local advertising of such opening in exchange for the advertising of local businesses only, provided any on-screen advertising related thereto shall be subject to availability of on-screen inventory and limited to one (1) advertisement thirty (30) seconds in length; and (ii) allowing advertising for the supplier of network affiliate employee uniforms to appear on such uniforms, provided that not more than two individual instances of such advertising ,may appear on any such uniform at any one time.",Volume Restriction,Low Risk
"any and all data, information, and material created, conceived, reduced to practice, or developed by or on behalf of either party, whether alone, in connection with the other party or any third party, including, without limitation, written works, processes, methods, inventions, discoveries, software, works of visual art, audio works, look-and-feel attributes, and multimedia works, based on, using, or derived from, in whole or in part, any ncm property, whether or not done on ncm's facilities, with ncm's equipment, or by ncm personnel, and any and all right, title, and interest therein and thereto (including, but not limited to, the right to sue for past infringement) (collectively, ""derived works""), shall be owned solely and exclusively by ncm, and network affiliate agrees to and hereby does assign, transfer, and convey to ncm (and will ensure than any third party acting with or on behalf of network affiliate assigns, transfers, and conveys to ncm any and all right, title, or interest in or to any derived work which it may at any time acquire by operation of law or otherwise.",Ip Ownership Assignment,High Risk
"any and all data, information, and material created, conceived, reduced to practice, or developed by or on behalf of either party, whether alone, in connection with the other party or any third party, including, without limitation, written works, processes, methods, inventions, discoveries, software, works of visual art, audio works, look-and-feel attributes, and multimedia works, based on, using, or derived from, in whole or in part, any ncm property, whether or not done on ncm's facilities, with ncm's equipment, or by ncm personnel, and any and all right, title, and interest therein and thereto (including, but not limited to, the right to sue for past infringement) (collectively, ""derived works""), shall be owned solely and exclusively by ncm, and network affiliate agrees to and hereby does assign, transfer, and convey to ncm (and will ensure than any third party acting with or on behalf of network affiliate assigns, transfers, and conveys to ncm any and all right, title, or interest in or to any derived work which it may at any time acquire by operation of law or otherwise.",Joint Ip Ownership,Low Risk
"subject to the terms and conditions of this agreement, network affiliate hereby grants to ncm, and ncm hereby accepts, a non-exclusive, non-transferable (except in connection with an assignment of this agreement in accordance with section 14.8 hereof), non- sublicenseable, limited license (i) to use the network affiliate marks solely in connection with its delivery of the service, as approved by network affiliate in writing in advance, and (ii) to use the network affiliate marks in marketing materials that have been approved by network affiliate pursuant to the terms hereof.",License Grant,Low Risk
"ncm hereby grants to network affiliate at no cost a limited, non-exclusive, non-transferable, non-sublicenseable, royalty-free license in the territory during the term only to receive, store, convert or otherwise manage, display and exhibit the service on the equipment at theatres solely in connection with its performance of and subject to all of the terms and conditions of this agreement.",License Grant,Low Risk
"subject to the terms and conditions of this agreement and such other standards, trademark usage guidelines and specifications as are prescribed by ncm during the term of this agreement (the ""ncm quality standards""), ncm hereby grants to network affiliate, and network affiliate hereby accepts, a non-exclusive, non-transferable (except in connection with an assignment of this agreement in accordance with section 14.8 hereof), non-sublicenseable, limited license (i) to use the ncm marks solely in connection with its receipt and exhibition of the service, as approved by ncm in writing in advance, and (ii) to use the ncm marks in marketing or advertising materials (""marketing materials"") that have been approved by ncm pursuant to the terms hereof.",License Grant,Low Risk
"to the extent any derived works are included in the service, ncm hereby grants to network affiliate during the term a non-exclusive, non-transferable, non-sublicenseable license to such derived works solely for use in connection with the service as expressly provided by this agreement.",License Grant,Low Risk
"subject to the terms and conditions of this agreement, ncm hereby grants to network affiliate, and network affiliate hereby accepts, a non-exclusive, non-transferable, non-sublicenseable, royalty-free limited license to the object code version of the software on equipment at theatres solely for the limited purpose of performing this agreement.",License Grant,Low Risk
"subject to the terms and conditions of this agreement, network affiliate hereby grants to ncm, and ncm hereby accepts, a non-exclusive, non-transferable (except in connection with an assignment of this agreement in accordance with section 14.8 hereof), non- sublicenseable, limited license (i) to use the network affiliate marks solely in connection with its delivery of the service, as approved by network affiliate in writing in advance, and (ii) to use the network affiliate marks in marketing materials that have been approved by network affiliate pursuant to the terms hereof.",Non-Transferable License,Low Risk
"ncm hereby grants to network affiliate at no cost a limited, non-exclusive, non-transferable, non-sublicenseable, royalty-free license in the territory during the term only to receive, store, convert or otherwise manage, display and exhibit the service on the equipment at theatres solely in connection with its performance of and subject to all of the terms and conditions of this agreement.",Non-Transferable License,Low Risk
"subject to the terms and conditions of this agreement and such other standards, trademark usage guidelines and specifications as are prescribed by ncm during the term of this agreement (the ""ncm quality standards""), ncm hereby grants to network affiliate, and network affiliate hereby accepts, a non-exclusive, non-transferable (except in connection with an assignment of this agreement in accordance with section 14.8 hereof), non-sublicenseable, limited license (i) to use the ncm marks solely in connection with its receipt and exhibition of the service, as approved by ncm in writing in advance, and (ii) to use the ncm marks in marketing or advertising materials (""marketing materials"") that have been approved by ncm pursuant to the terms hereof.",Non-Transferable License,Low Risk
"to the extent any derived works are included in the service, ncm hereby grants to network affiliate during the term a non-exclusive, non-transferable, non-sublicenseable license to such derived works solely for use in connection with the service as expressly provided by this agreement.",Non-Transferable License,Low Risk
"subject to the terms and conditions of this agreement, ncm hereby grants to network affiliate, and network affiliate hereby accepts, a non-exclusive, non-transferable, non-sublicenseable, royalty-free limited license to the object code version of the software on equipment at theatres solely for the limited purpose of performing this agreement.",Non-Transferable License,Low Risk
"upon termination or expiration of this agreement, and upon reasonable prior notice to network affiliate, ncm shall be entitled to enter the theatres upon reasonable prior written notice, and any other premises of network affiliate where any ncm property may be located, and recover any and all ncm property, unless network affiliate chooses to purchase such property based on a straight line five year depreciated value.",Post-Termination Services,Low Risk
any period that has been audited pursuant to this section shall not be subject to any further audit.,Audit Rights,Low Risk
more detailed quality audits may be performed by ncm personnel.,Audit Rights,Low Risk
"in addition to the foregoing audit rights of the parties, during the term, ncm and its authorized agents shall have the right, upon reasonable advance notice, to inspect any network affiliate premises or facilities involved in the performance of this agreement to confirm the performance and satisfaction of network affiliate's obligations hereunder.",Audit Rights,Low Risk
any audit with respect to amounts payable by either party to the other party under this agreement shall be limited to an audit with respect to amounts to be paid in the current calendar year and immediately preceding calendar year only.,Audit Rights,Low Risk
"during the term and for a period of three (3) years thereafter, each party, at its sole expense, shall, upon reasonable advance notice from the other party, make such books and records available at its offices for inspection and audit by the other party, its employees and agents.",Audit Rights,Low Risk
"except in connection with a breach of article xiii of this agreement and with the exception of the indemnification obligations of the parties under article x, in no event shall either party be liable to the other party or any other person or entity for any indirect, incidental, consequential, special, punitive, exemplary, or extra-contractual damages of any kind whatsoever arising from or connected with this agreement, including, but not limited to, lost profits, lost revenues, or loss of business, regardless of legal theory, whether or not foreseeable, even if either party hereto has been advised of the possibility or probability of such damages and even if the remedies otherwise provided by this agreement fail of their essential purpose.",Uncapped Liability,Low Risk
"except in connection with a breach of article xiv hereunder, and with the exception of the indemnification obligations of the parties under article x, the aggregate total liability of either party to the other party and to all other persons and entities under this agreement shall under no circumstances exceed the amount of the net revenue received by ncm pursuant to section 7.2 of this agreement during the five (5) year period preceding such liability, less in any case the aggregate of any amounts paid by ncm hereunder on account of previous events of liability.",Uncapped Liability,Low Risk
"except in connection with a breach of article xiii of this agreement and with the exception of the indemnification obligations of the parties under article x, in no event shall either party be liable to the other party or any other person or entity for any indirect, incidental, consequential, special, punitive, exemplary, or extra-contractual damages of any kind whatsoever arising from or connected with this agreement, including, but not limited to, lost profits, lost revenues, or loss of business, regardless of legal theory, whether or not foreseeable, even if either party hereto has been advised of the possibility or probability of such damages and even if the remedies otherwise provided by this agreement fail of their essential purpose.",Cap On Liability,Low Risk
"except in connection with a breach of article xiv hereunder, and with the exception of the indemnification obligations of the parties under article x, the aggregate total liability of either party to the other party and to all other persons and entities under this agreement shall under no circumstances exceed the amount of the net revenue received by ncm pursuant to section 7.2 of this agreement during the five (5) year period preceding such liability, less in any case the aggregate of any amounts paid by ncm hereunder on account of previous events of liability.",Cap On Liability,Low Risk
"the obligations under this section 10.3 state the entire liability of ncm and are network affiliate's sole and exclusive remedies, with respect to intellectual property infringement.",Cap On Liability,Low Risk
"each party will name the other party (including its agents, officers, directors, employees and affiliates) as an additional insured on such policies of insurance.",Insurance,Low Risk
network affiliate shall maintain with financially sound and reputable insurance companies insurance on the theatres and the equipment in such amounts and against such perils as network affiliate deems adequate for its business.,Insurance,Low Risk
"ncm shall maintain with financially sound and reputable insurance companies insurance for its business and equipment in such amounts and against such perils as ncm deems adequate for its business, including the installation services set forth in section 2.2 herein.",Insurance,Low Risk
"neither party will at any time, except to the extent necessary to assert or defend its rights under this agreement: (i) challenge or otherwise do anything inconsistent with the other party's right, title or interest in its property, (ii) do or cause to be done or omit to do anything, the doing, causing or omitting of which would contest or in any way impair or tend to impair the rights of the other party in its property, or (iii) assist or cause any person or entity to do any of the foregoing.",Covenant Not To Sue,Low Risk
"network affiliate shall not engage in any conduct which may place ncm or any ncm mark in a negative light or context, and shall not represent that it owns or has any interest in any ncm mark other than as expressly granted herein, nor shall it contest or assist others in contesting the title or any rights of ncm (or any other owner) in and to any ncm mark.",Covenant Not To Sue,Low Risk
"ncm shall not engage in any conduct which may place network affiliate or any network affiliate mark in a negative light or context, and shall not represent that it owns or has any interest in any network affiliate mark other than as expressly granted herein, nor shall it contest or assist others in contesting the title or any rights of network affiliate (or any other owner) in and to any network affiliate mark.",Covenant Not To Sue,Low Risk
maintenance and support agreement,Document Name,Low Risk
converge,Parties,Low Risk
verticalnet enterprises llc,Parties,Low Risk
"converge, inc.",Parties,Low Risk
vni,Parties,Low Risk
"formerly known as tradeum, inc. which d/b/a verticalnet solutions",Parties,Low Risk
"verticalnet, inc.",Parties,Low Risk
"""vne""; collectively with vni, ""vert""",Parties,Low Risk
"9th day of october, 2001",Agreement Date,Low Risk
"october 1, 2001",Effective Date,Low Risk
"the initial period of this agreement (the ""initial term"") shall commence upon the effective date and continue until march 31, 2003.",Expiration Date,Low Risk
"thereafter, this agreement shall renew only upon the mutual written agreement of the parties for up to three additional renewal terms of one year each (each, a ""renewal term"").",Renewal Term,Low Risk
"this agreement and performance under this agreement shall be governed by the laws of the united states of america and of the commonwealth of pennsylvania as applied to agreements entered into and to be performed entirely within pennsylvania between pennsylvania residents, excluding its conflicts of law provisions.",Governing Law,Low Risk
"in the event of a vert-non-renewal election, in addition to any rights or remedies that may be available to converge under the subscription license agreement, the provisions of section 8 above shall cease to apply with respect to converge's solicitation or encouragement of any of the vne service personnel to terminate their employment or independent contracting relationship with vne and become an employee or independent contractor of converge or its affiliate.",No-Solicit Of Employees,Low Risk
"indirect solicitations and other employment activities (e.g., job postings, advertising of positions) that are not specifically targeted at any particular individual.",No-Solicit Of Employees,Low Risk
"during the term of this agreement and for a period of one year thereafter, converge and vert each agree not to directly or indirectly solicit, encourage or cause others to solicit or encourage any employees or individual independent contractors of the other party to terminate their employment or independent contracting relationship with the other party and become an employee or independent contractor of the soliciting party or its affiliate. this provision does not prohibit a party's responding to unsolicited employment inquiries and/or any",No-Solicit Of Employees,Low Risk
"no transfer of this agreement by operation of law or change in control of a party, including, without limitation, by merger, consolidation or sale or other transfer of equity interests, shall be considered an assignment for purposes of this section 11.9.",Change Of Control,Medium Risk
"otherwise, neither party may assign this agreement without the other party's prior written consent (not to be unreasonably withheld).",Anti-Assignment,High Risk
"converge shall pay to vne a minimum fee of four and one-half million dollars ($4,500,000) for vne's provision of the services during the initial term (the ""initial term minimum fee"").",Minimum Commitment,High Risk
the number of converge support personnel will not exceed seven persons without vne's prior approval.,Volume Restriction,Low Risk
"except as the parties may otherwise agree in writing, converge, to the extent it has the legal right to do so, hereby grants to vert an irrevocable, perpetual, world-wide, non-exclusive right and license to use, load, store, transmit, execute, copy, market, distribute, in any medium or distribution technology whatsoever, known or unknown, display, perform and sublicense the converge-independent materials and the third-party materials, in both source code and object code formats, and to make unlimited instantiations thereof, for any and all purposes.",License Grant,Low Risk
"except as the parties may otherwise agree in writing, converge, to the extent it has the legal right to do so, hereby grants to vert an irrevocable, perpetual, world-wide, non-exclusive right and license to use, load, store, transmit, execute, copy, market, distribute, in any medium or distribution technology whatsoever, known or unknown, display, perform and sublicense the converge-independent materials and the third-party materials, in both source code and object code formats, and to make unlimited instantiations thereof, for any and all purposes.",Unlimited/All-You-Can-Eat-License,Low Risk
"except as the parties may otherwise agree in writing, converge, to the extent it has the legal right to do so, hereby grants to vert an irrevocable, perpetual, world-wide, non-exclusive right and license to use, load, store, transmit, execute, copy, market, distribute, in any medium or distribution technology whatsoever, known or unknown, display, perform and sublicense the converge-independent materials and the third-party materials, in both source code and object code formats, and to make unlimited instantiations thereof, for any and all purposes.",Irrevocable Or Perpetual License,Low Risk
"unless otherwise provided by local law without the possibility of contractual waiver or limitation, any legal or other action related to this agreement must be commenced no later than two years from the date on which the cause of action arose.",Cap On Liability,Low Risk
converge to vert for such maintenance and support services during the three month period immediately preceding the date on which the claim or cause of action for any such damages first arose.,Cap On Liability,Low Risk
"in the event of any breach of the foregoing warranty, and provided that converge reports such breach to vne in writing within 90 days following the date of performance of the services in question, vne shall, as its sole obligation and converge's sole and exclusive remedy, promptly repair, replace or re-perform the services in question, without additional cost to converge, so as to correct the warranty non-compliance as promptly as practicable (within 30 days to the extent technically feasible).",Cap On Liability,Low Risk
"to the maximum extent permitted by law, in no event shall either party be liable or obligated in any manner for any special, incidental, exemplary or consequential damages of any kind arising out of or relating to this agreement (including, but not limited to, lost profits, revenues or business opportunities) however caused and regardless of the form of action, whether in contract, tort, negligence, strict product liability, or otherwise, even if the party has been informed of the possibility of any such damages in advance.",Cap On Liability,Low Risk
"if a claim or cause of action is attributable to a product or any services provided under the subscription license agreement, the remedies set forth in the subscription license agreement, to the exclusion of the remedies set forth in this agreement, shall constitute the sole and exclusive remedies available to a party for such claim or cause of action.",Cap On Liability,Low Risk
"to the maximum extent permitted by law, the maximum liability of each party to the other or to any third party for damages, if any, relating to this agreement or any maintenance update, enhancement or services provided or to be provided hereunder, whether for breach of contract or warranty, strict liability, negligence or other tort, strict product liability, the failure of any limited remedy to achieve its essential purpose, or otherwise, shall not exceed (i) with respect to any enhancement provided hereunder, the amounts paid by converge to vert for such enhancement, and (ii) with respect to any maintenance and support services, the amounts paid by",Cap On Liability,Low Risk
"if a claim or cause of action is attributable to any maintenance update, enhancement or services provided or to be provided under this agreement, the remedies set forth in this agreement, to the exclusion of the remedies set forth in the subscription license agreement, shall constitute the sole and exclusive remedies available to a party for such claim or cause of action.",Cap On Liability,Low Risk
"in the event of any breach of the foregoing warranty, and provided that converge reports such breach to vne in writing within 90 days following the date of performance of the services in question, vne shall, as its sole obligation and converge's sole and exclusive remedy, promptly repair, replace or re-perform the services in question, without additional cost to converge, so as to correct the warranty non-compliance as promptly as practicable (within 30 days to the extent technically feasible).",Warranty Duration,Low Risk
transportation service agreement contract identification ft18150,Document Name,Low Risk
anr pipeline company,Parties,Low Risk
great lakes gas transmission limited partnership,Parties,Low Risk
transporter,Parties,Low Risk
shipper,Parties,Low Risk
"december 14, 2015",Agreement Date,Low Risk
"effective date: november 01, 2016",Effective Date,Low Risk
"term: november 01, 2014 to october 31, 2017",Expiration Date,Low Risk
any controversy between the parties arising under this agreement and not resolved by the parties shall be determined in accordance with the laws of the state of michigan.,Governing Law,Low Risk
"maximum daily quantity (dth/day) per location: begin date end date point(s) of primary receipt point(s) of primary delivery mdq maximum allowable operating pressure (maop) 11/01/2014 03/31/2015 south chester 101,300 974 11/01/2014 03/31/2015 deward 101,300 974 04/01/2015 10/31/2015 south chester 0 974 11/01/2015 03/31/2016 south chester 101,300 974 11/01/2015 03/31/2016 deward 101,300 974 04/01/2016 10/31/2016 south chester 0 974 11/01/2016 03/31/2017 south chester 101,300 974 11/01/2016 03/31/2017 deward 101,300 974 04/01/2017 10/31/2017 south chester 0 974 11/01/2014 03/31/2015 farwell 101,300 974 04/01/2015 10/31/2015 farwell 0 974 11/01/2015 03/31/2016 farwell 101,300 974 04/01/2016 10/31/2016 farwell 0 974 11/01/2016 03/31/2017 farwell 101,300 974 04/01/2017 10/31/2017 farwell 0 974",Volume Restriction,Low Risk
"maximum daily quantity (dth/day): 101,300",Volume Restriction,Low Risk
photo retouching outsourcing agreement,Document Name,Low Risk
dgt corp.,Parties,Low Risk
dgt,Parties,Low Risk
dolphin industries limited,Parties,Low Risk
dolphin,Parties,Low Risk
"1st day of june , 2006",Agreement Date,Low Risk
"in witness whereof the parties hereto have hereunto executed this agreement on the 1st day of june , 2006 , but effective as of the date of commencement.",Effective Date,Low Risk
"this agreement shall be governed by and construed in accordance with the laws of the state of nevada, usa in force therein without regard to its conflict of law rules.",Governing Law,Low Risk
"dolphin will provide photo-editing services exclusively, at dgt option, when the number of downloaded photos to be edited by dolphin totals 50,000 in a single year;",Exclusivity,Low Risk
"dolphin shall permit any duly authorized representative of dgt, during normal business hours and at dgt's sole risk and expense, to enter upon and into any premises of dolphin for the purpose of inspecting the service.",Audit Rights,Low Risk
in no event shall dgt be liable for consequential or incidental damages arising from any breach or breaches of this agreement.,Cap On Liability,Low Risk
"no action, whether in contract or tort (including negligence), or otherwise arising out of or in connection with this agreement, may be brought by dolphin more than six months after the cause of action has occurred.",Cap On Liability,Low Risk
"dgt's total liability, whether under the express or implied terms of this agreement, in tort (including negligence), or at common law, for any loss or damage suffered by dolphin, whether direct, indirect or special, or any other similar or like damage that may arise or does arise from any breaches of this agreement by dgt and its directors, officers or agents, shall be limited to the amount of the cost of the products.",Cap On Liability,Low Risk
multiple linac and multi-modality distributor agreement,Document Name,Low Risk
accuray,Parties,Low Risk
siemens,Parties,Low Risk
siemens aktiengesellschaft,Parties,Low Risk
accuray incorporated,Parties,Low Risk
"june 8, 2010",Agreement Date,Low Risk
"june 8, 2010",Effective Date,Low Risk
"unless otherwise agreed in writing by accuray and distributor and subject to the termination rights contained in this agreement, this agreement shall begin on the effective date and shall continue until the termination of the strategic alliance agreement; provided, however, that if a termination election relating to this agreement is made pursuant to section 10.3 of the strategic alliance agreement prior to such termination, this agreement shall terminate 36 months after such termination election (the ""term"").",Expiration Date,Low Risk
"this agreement shall be governed by, and construed in accordance with, the laws of the federal republic of germany excluding the united nations convention on contracts of international sale of goods (cisg) and the provisions of german private international law.",Governing Law,Low Risk
"neither this agreement, nor any of the rights, interests, or obligations under this agreement may be assigned or delegated, in whole or in part, by operation of law or otherwise, by any party without the prior written consent of the other party, and any such assignment without such prior written consent shall be null and void; provided, however, that this agreement may be assigned by a party in connection with a change in control of such party, subject to the specific termination and other rights set forth in the strategic",Anti-Assignment,High Risk
"alliance agreement upon such change in control; provided, further, that siemens may assign its rights and obligations under this agreement to any distributor that agrees, in writing, to be bound by and comply with the terms and conditions of this agreement and the provisions of the strategic alliance agreement, provided, that no such assignment shall relieve siemens of its obligations hereunder or thereunder if such distributor does not perform such obligations.",Anti-Assignment,High Risk
"accuray hereby grants distributor or customer a nonexclusive, non-transferable, royalty-free right to use the software provided in connection with the products only in machine readable form and only in combination with the products with which such software is provided.",License Grant,Low Risk
"accuray hereby grants to customers of products a non-exclusive, non-transferable and royalty-free license under any patents owned by accuray or the licensing of which is controlled by accuray that, but for this license, would be infringed by the use of such products in accordance with the applicable specification.",License Grant,Low Risk
"accuray hereby grants distributor or customer a nonexclusive, non-transferable, royalty-free right to use the software provided in connection with the products only in machine readable form and only in combination with the products with which such software is provided.",Non-Transferable License,Low Risk
"accuray hereby grants to customers of products a non-exclusive, non-transferable and royalty-free license under any patents owned by accuray or the licensing of which is controlled by accuray that, but for this license, would be infringed by the use of such products in accordance with the applicable specification.",Non-Transferable License,Low Risk
"furthermore, each of the parties agree to cooperate fully with the other for any reasonable transition assistance required in the case of termination or expiration of this agreement.",Post-Termination Services,Low Risk
"upon a termination of this agreement, accuray shall continue to make available to customers support services on commercially reasonable terms, including, without limitation, spare parts for the systems for a minimum period of 10 years after the last shipment of a system pursuant to this agreement.",Post-Termination Services,Low Risk
accuray and distributor agree to negotiate in good faith an orderly transition of distributor's distribution responsibilities and activities to accuray or a third party designated by accuray and distributor agrees to assist in the transition.,Post-Termination Services,Low Risk
"without affecting strict product liability under mandatory applicable law, section 10, or the respective obligations of the parties under the confidentiaility agreement and except for breaches associated with the unauthorized use of intellectual property, in no event shall either party be liable to the other party for special, incidental, consequential, punitive or tort damages, including without limitation, any damages resulting from loss of use, loss of data, loss of profits or loss of business arising out of or in connection with the matters contemplated by this agreement, whether or not a party has been advised of the possibility of such damages.",Uncapped Liability,Low Risk
"without affecting section 10 or the respective obligations of the parties under the confidentiality agreement and except for any liability (i) relating to any breach associated with the unauthorized use of intellectual property, (ii) arising from the intentional breach or willful misconduct of a party, or (iii) arising from the non-compliance with any mandatory applicable law or regulation, the total aggregate liability of one party to another party for any claim relating to any breach of this agreement (or any purchase order or other agreement entered into in connection with this agreement) (a ""claim"") shall be limited to the aggregate amount of the purchase prices paid by distributor to accuray for products pursuant to this agreement (or any purchase order or other agreement entered into in connection with this agreement) during the twelve calendar months preceding the date of the notification to the other party of such claim less any amounts paid or payable in respect of any other claim of which the other party was notified during such twelve month period.",Uncapped Liability,Low Risk
this is accuray's sole and exclusive obligation and customer's and distributor's sole and exclusive remedy in relation to any safety update required to be provided by applicable law in the customer's jurisdiction.,Cap On Liability,Low Risk
"without affecting strict product liability under mandatory applicable law, section 10, or the respective obligations of the parties under the confidentiaility agreement and except for breaches associated with the unauthorized use of intellectual property, in no event shall either party be liable to the other party for special, incidental, consequential, punitive or tort damages, including without limitation, any damages resulting from loss of use, loss of data, loss of profits or loss of business arising out of or in connection with the matters contemplated by this agreement, whether or not a party has been advised of the possibility of such damages.",Cap On Liability,Low Risk
this will be accuray's sole and exclusive obligation and such customer's sole and exclusive remedy in relation to defective products and parts.,Cap On Liability,Low Risk
this is accuray's sole and exclusive obligation and customer's and distributor's sole and exclusive remedy in relation to defective software.,Cap On Liability,Low Risk
"if a customer notifies accuray in writing during the warranty period of a defect in a product that causes the product to fail to conform to the foregoing warranty, accuray shall at its option either repair or replace the non- conforming product or, if in accuray's opinion such repair or replacement is not commercially reasonable, accuray shall refund a pro-rated portion of the price paid by the customer for such product calculated based on a straight-line depreciation over a 5-year period beginning on the date of delivery.",Cap On Liability,Low Risk
"without affecting section 10 or the respective obligations of the parties under the confidentiality agreement and except for any liability (i) relating to any breach associated with the unauthorized use of intellectual property, (ii) arising from the intentional breach or willful misconduct of a party, or (iii) arising from the non-compliance with any mandatory applicable law or regulation, the total aggregate liability of one party to another party for any claim relating to any breach of this agreement (or any purchase order or other agreement entered into in connection with this agreement) (a ""claim"") shall be limited to the aggregate amount of the purchase prices paid by distributor to accuray for products pursuant to this agreement (or any purchase order or other agreement entered into in connection with this agreement) during the twelve calendar months preceding the date of the notification to the other party of such claim less any amounts paid or payable in respect of any other claim of which the other party was notified during such twelve month period.",Cap On Liability,Low Risk
"without affecting strict product liability under mandatory applicable law, the foregoing provisions of this section set forth accuray's sole and exclusive liability and distributor's sole and exclusive remedy for any claims of infringement or misappropriation of intellectual property rights or proprietary rights of any kind.",Cap On Liability,Low Risk
"accuray will provide a warranty to each customer that the products will be free from material defects and perform substantially in accordance with the written specifications provided by accuray as reflected in the regulatory clearance at the time of sale for a period of one (1) year following installation of the products at customer's facility, but not to exceed eighteen (18) months following shipment of such products to distributor (""warranty period"").",Warranty Duration,Low Risk
"notwithstanding section 4.6.2, for a period of 10 years following installation of a system, accuray will provide to customer, without charge, bug fixes with respect to any software included in the system.",Warranty Duration,Low Risk
"notwithstanding section 4.6.2 and any obligations according to law, for a period of 10 years following installation of a system, accuray will provide to customer, without charge, safety updates with respect to any hardware or software included in the system.",Warranty Duration,Low Risk
promotion agreement,Document Name,Low Risk
